Name,Dissemination Area ID,"# Households in PRIZM Segment 3: Arts & Affluence, 2019","% Households in PRIZM Segment 3: Arts & Affluence, 2019","# Basics | Total Population, 2021","Households by Income (Current Year) | Median Household Income (Current Year $), 2021","% Household Population 25 to 64 Years by Educational Attainment | Household Population 25 To 64 Years | University Certificate, Diploma Or Degree At Bachelor Level Or Above, 2021","# Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","# Total Population in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population in PRIZM Segment 3: Arts & Affluence, 2019"
"DA1707, Brampton, ON",35211707,0,0.00%,654,"$146,086.74 ",43.73%,0,0.00%,0,0.00%
"DA1707, Toronto, ON",35201707,0,0.00%,504,"$159,866.47 ",55.39%,0,0.00%,0,0.00%
"DA1708, Brampton, ON",35211708,0,0.00%,444,"$103,156.15 ",27.91%,0,0.00%,0,0.00%
"DA1708, Toronto, ON",35201708,0,0.00%,584,"$135,187.64 ",57.63%,0,0.00%,0,0.00%
"DA1709, Toronto, ON",35201709,0,0.00%,316,"$126,777.57 ",53.02%,0,0.00%,0,0.00%
"DA1710, Toronto, ON",35201710,0,0.00%,451,"$182,452.88 ",47.75%,0,0.00%,0,0.00%
"DA1711, Brampton, ON",35211711,0,0.00%,"1,326","$91,693.95 ",38.25%,0,0.00%,0,0.00%
"DA1711, Toronto, ON",35201711,0,0.00%,527,"$161,818.27 ",61.46%,0,0.00%,0,0.00%
"DA1712, Brampton, ON",35211712,0,0.00%,646,"$106,794.05 ",50.61%,0,0.00%,0,0.00%
"DA1712, Toronto, ON",35201712,0,0.00%,375,"$192,846.89 ",68.32%,0,0.00%,0,0.00%
"DA1713, Brampton, ON",35211713,0,0.00%,"1,006","$97,378.26 ",29.63%,0,0.00%,0,0.00%
"DA1713, Toronto, ON",35201713,0,0.00%,472,"$225,607.96 ",63.18%,0,0.00%,0,0.00%
"DA1714, Brampton, ON",35211714,0,0.00%,765,"$93,968.08 ",31.51%,0,0.00%,0,0.00%
"DA1714, Toronto, ON",35201714,0,0.00%,"1,463","$84,410.80 ",48.02%,0,0.00%,0,0.00%
"DA1715, Brampton, ON",35211715,0,0.00%,"1,078","$70,395.88 ",38.92%,0,0.00%,0,0.00%
"DA1716, Mississauga, ON",35211716,0,0.00%,"4,106","$126,272.40 ",56.13%,0,0.00%,0,0.00%
"DA1717, Toronto, ON",35201717,0,0.00%,654,"$39,635.67 ",25.95%,0,0.00%,0,0.00%
"DA1718, Mississauga, ON",35211718,0,0.00%,"1,247","$125,724.01 ",40.61%,0,0.00%,0,0.00%
"DA1718, Toronto, ON",35201718,0,0.00%,518,"$188,504.36 ",58.87%,0,0.00%,0,0.00%
"DA1719, Mississauga, ON",35211719,0,0.00%,827,"$118,701.93 ",48.28%,0,0.00%,0,0.00%
"DA1719, Toronto, ON",35201719,0,0.00%,525,"$114,137.98 ",43.94%,0,0.00%,0,0.00%
"DA1720, Mississauga, ON",35211720,0,0.00%,642,"$143,923.61 ",54.11%,0,0.00%,0,0.00%
"DA1720, Toronto, ON",35201720,0,0.00%,640,"$99,636.05 ",41.00%,0,0.00%,0,0.00%
"DA1721, Mississauga, ON",35211721,0,0.00%,855,"$118,118.24 ",54.43%,0,0.00%,0,0.00%
"DA1721, Toronto, ON",35201721,0,0.00%,438,"$63,397.46 ",29.92%,0,0.00%,0,0.00%
"DA1722, Mississauga, ON",35211722,0,0.00%,661,"$113,087.64 ",56.32%,0,0.00%,0,0.00%
"DA1722, Toronto, ON",35201722,0,0.00%,"1,073","$57,943.10 ",22.17%,0,0.00%,0,0.00%
"DA1723, Mississauga, ON",35211723,0,0.00%,747,"$104,806.01 ",43.63%,0,0.00%,0,0.00%
"DA1723, Toronto, ON",35201723,0,0.00%,439,"$78,998.27 ",3.83%,0,0.00%,0,0.00%
"DA1724, Mississauga, ON",35211724,0,0.00%,934,"$119,194.45 ",36.33%,0,0.00%,0,0.00%
"DA1724, Toronto, ON",35201724,0,0.00%,401,"$91,382.92 ",39.81%,0,0.00%,0,0.00%
"DA1725, Mississauga, ON",35211725,0,0.00%,727,"$126,778.27 ",45.98%,0,0.00%,0,0.00%
"DA1725, Toronto, ON",35201725,0,0.00%,"1,227","$109,126.76 ",33.33%,0,0.00%,0,0.00%
"DA1726, Mississauga, ON",35211726,0,0.00%,909,"$137,326.39 ",44.33%,0,0.00%,0,0.00%
"DA1726, Toronto, ON",35201726,0,0.00%,453,"$117,430.34 ",42.49%,0,0.00%,0,0.00%
"DA1727, Mississauga, ON",35211727,0,0.00%,"1,306","$130,661.73 ",59.94%,0,0.00%,0,0.00%
"DA1728, Mississauga, ON",35211728,0,0.00%,535,"$109,389.17 ",51.47%,0,0.00%,0,0.00%
"DA1728, Toronto, ON",35201728,0,0.00%,"1,348","$55,073.60 ",36.50%,0,0.00%,0,0.00%
"DA1729, Mississauga, ON",35211729,0,0.00%,752,"$170,575.15 ",43.48%,0,0.00%,0,0.00%
"DA1730, Mississauga, ON",35211730,0,0.00%,796,"$161,307.61 ",50.23%,0,0.00%,0,0.00%
"DA1730, Toronto, ON",35201730,0,0.00%,431,"$192,694.75 ",56.50%,0,0.00%,0,0.00%
"DA1731, Mississauga, ON",35211731,0,0.00%,857,"$162,730.37 ",43.10%,0,0.00%,0,0.00%
"DA1731, Toronto, ON",35201731,0,0.00%,482,"$85,458.17 ",34.40%,0,0.00%,0,0.00%
"DA1732, Mississauga, ON",35211732,0,0.00%,"1,113","$191,699.58 ",53.75%,0,0.00%,0,0.00%
"DA1733, Mississauga, ON",35211733,0,0.00%,690,"$203,456.90 ",62.71%,0,0.00%,0,0.00%
"DA1734, Mississauga, ON",35211734,0,0.00%,"1,745","$131,426.37 ",52.08%,0,0.00%,0,0.00%
"DA1734, Toronto, ON",35201734,0,0.00%,505,"$113,000.62 ",48.13%,0,0.00%,0,0.00%
"DA1735, Mississauga, ON",35211735,0,0.00%,"1,276","$164,754.70 ",48.31%,0,0.00%,0,0.00%
"DA1735, Toronto, ON",35201735,0,0.00%,498,"$50,079.79 ",14.36%,0,0.00%,0,0.00%
"DA1736, Toronto, ON",35201736,0,0.00%,"1,984","$41,388.46 ",34.31%,0,0.00%,0,0.00%
"DA1737, Mississauga, ON",35211737,0,0.00%,644,"$126,552.14 ",49.07%,0,0.00%,0,0.00%
"DA1737, Toronto, ON",35201737,0,0.00%,663,"$82,172.18 ",37.08%,0,0.00%,0,0.00%
"DA1738, Mississauga, ON",35211738,0,0.00%,808,"$136,657.31 ",49.22%,0,0.00%,0,0.00%
"DA1738, Toronto, ON",35201738,0,0.00%,474,"$182,494.78 ",39.51%,0,0.00%,0,0.00%
"DA1739, Mississauga, ON",35211739,0,0.00%,726,"$133,961.02 ",57.41%,0,0.00%,0,0.00%
"DA1739, Toronto, ON",35201739,0,0.00%,457,"$131,546.14 ",51.56%,0,0.00%,0,0.00%
"DA1740, Mississauga, ON",35211740,0,0.00%,693,"$182,102.03 ",59.68%,0,0.00%,0,0.00%
"DA1740, Toronto, ON",35201740,0,0.00%,607,"$185,206.91 ",58.71%,0,0.00%,0,0.00%
"DA1741, Mississauga, ON",35211741,0,0.00%,623,"$156,058.72 ",53.80%,0,0.00%,0,0.00%
"DA1741, Toronto, ON",35201741,0,0.00%,494,"$152,135.93 ",58.69%,0,0.00%,0,0.00%
"DA1742, Mississauga, ON",35211742,0,0.00%,493,"$195,262.84 ",44.06%,0,0.00%,0,0.00%
"DA1743, Mississauga, ON",35211743,0,0.00%,"1,395","$159,450.65 ",52.20%,0,0.00%,0,0.00%
"DA1744, Mississauga, ON",35211744,0,0.00%,952,"$136,714.64 ",51.70%,0,0.00%,0,0.00%
"DA1744, Toronto, ON",35201744,0,0.00%,"1,914","$73,575.27 ",29.55%,0,0.00%,0,0.00%
"DA1745, Mississauga, ON",35211745,0,0.00%,872,"$118,303.88 ",33.68%,0,0.00%,0,0.00%
"DA1746, Mississauga, ON",35211746,0,0.00%,592,"$135,343.81 ",50.61%,0,0.00%,0,0.00%
"DA1747, Mississauga, ON",35211747,0,0.00%,547,"$137,911.97 ",43.73%,0,0.00%,0,0.00%
"DA1748, Brampton, ON",35211748,0,0.00%,"1,441","$97,704.73 ",32.92%,0,0.00%,0,0.00%
"DA1748, Toronto, ON",35201748,0,0.00%,"1,400","$77,328.72 ",25.34%,0,0.00%,0,0.00%
"DA1749, Brampton, ON",35211749,0,0.00%,"1,067","$110,984.93 ",32.93%,0,0.00%,0,0.00%
"DA1749, Toronto, ON",35201749,0,0.00%,426,"$118,053.78 ",41.01%,0,0.00%,0,0.00%
"DA1750, Brampton, ON",35211750,0,0.00%,987,"$126,014.54 ",30.87%,0,0.00%,0,0.00%
"DA1750, Toronto, ON",35201750,0,0.00%,480,"$105,373.18 ",35.37%,0,0.00%,0,0.00%
"DA1751, Brampton, ON",35211751,0,0.00%,875,"$118,256.83 ",32.58%,0,0.00%,0,0.00%
"DA1751, Toronto, ON",35201751,0,0.00%,307,"$162,461.97 ",43.43%,0,0.00%,0,0.00%
"DA1752, Toronto, ON",35201752,0,0.00%,274,"$117,763.94 ",51.02%,0,0.00%,0,0.00%
"DA1753, Toronto, ON",35201753,0,0.00%,260,"$114,029.69 ",31.06%,0,0.00%,0,0.00%
"DA1754, Brampton, ON",35211754,0,0.00%,"1,128","$83,322.98 ",30.13%,0,0.00%,0,0.00%
"DA1754, Toronto, ON",35201754,0,0.00%,310,"$108,460.58 ",37.34%,0,0.00%,0,0.00%
"DA1755, Brampton, ON",35211755,0,0.00%,618,"$91,172.89 ",32.58%,0,0.00%,0,0.00%
"DA1755, Toronto, ON",35201755,0,0.00%,538,"$110,672.27 ",35.71%,0,0.00%,0,0.00%
"DA1756, Brampton, ON",35211756,0,0.00%,"1,059","$102,731.48 ",24.22%,0,0.00%,0,0.00%
"DA1756, Toronto, ON",35201756,0,0.00%,693,"$118,403.11 ",34.59%,0,0.00%,0,0.00%
"DA1757, Brampton, ON",35211757,0,0.00%,703,"$95,862.03 ",41.51%,0,0.00%,0,0.00%
"DA1757, Toronto, ON",35201757,0,0.00%,394,"$119,561.00 ",54.04%,0,0.00%,0,0.00%
"DA1758, Brampton, ON",35211758,0,0.00%,912,"$113,556.23 ",37.72%,0,0.00%,0,0.00%
"DA1758, Toronto, ON",35201758,0,0.00%,553,"$133,214.76 ",29.90%,0,0.00%,0,0.00%
"DA1759, Toronto, ON",35201759,0,0.00%,755,"$124,594.36 ",45.68%,0,0.00%,0,0.00%
"DA1760, Brampton, ON",35211760,0,0.00%,"1,443","$87,952.84 ",38.01%,0,0.00%,0,0.00%
"DA1760, Toronto, ON",35201760,0,0.00%,468,"$132,250.00 ",56.06%,0,0.00%,0,0.00%
"DA1761, Brampton, ON",35211761,0,0.00%,643,"$100,413.25 ",26.32%,0,0.00%,0,0.00%
"DA1761, Toronto, ON",35201761,0,0.00%,531,"$147,076.87 ",56.25%,0,0.00%,0,0.00%
"DA1762, Brampton, ON",35211762,0,0.00%,"7,992","$90,945.03 ",34.80%,0,0.00%,0,0.00%
"DA1762, Toronto, ON",35201762,0,0.00%,929,"$124,698.39 ",44.69%,0,0.00%,0,0.00%
"DA1763, Brampton, ON",35211763,0,0.00%,"1,541","$90,387.40 ",46.85%,0,0.00%,0,0.00%
"DA1764, Brampton, ON",35211764,0,0.00%,937,"$84,563.21 ",46.41%,0,0.00%,0,0.00%
"DA1765, Brampton, ON",35211765,0,0.00%,"1,098","$108,825.98 ",36.44%,0,0.00%,0,0.00%
"DA1766, Brampton, ON",35211766,0,0.00%,584,"$106,645.46 ",27.99%,0,0.00%,0,0.00%
"DA1767, Brampton, ON",35211767,0,0.00%,871,"$106,393.59 ",43.76%,0,0.00%,0,0.00%
"DA1768, Brampton, ON",35211768,0,0.00%,758,"$94,767.69 ",28.93%,0,0.00%,0,0.00%
"DA1769, Brampton, ON",35211769,0,0.00%,"4,993","$100,318.36 ",38.23%,0,0.00%,0,0.00%
"DA1770, Brampton, ON",35211770,0,0.00%,569,"$231,759.82 ",53.11%,0,0.00%,0,0.00%
"DA1772, Brampton, ON",35211772,0,0.00%,680,"$133,346.32 ",25.95%,0,0.00%,0,0.00%
"DA1774, Brampton, ON",35211774,0,0.00%,774,"$123,872.99 ",33.78%,0,0.00%,0,0.00%
"DA1775, Brampton, ON",35211775,0,0.00%,842,"$111,297.05 ",43.47%,0,0.00%,0,0.00%
"DA1776, Brampton, ON",35211776,0,0.00%,767,"$104,821.82 ",21.46%,0,0.00%,0,0.00%
"DA1777, Brampton, ON",35211777,0,0.00%,"1,007","$113,931.58 ",22.90%,0,0.00%,0,0.00%
"DA1778, Brampton, ON",35211778,0,0.00%,"1,154","$107,840.65 ",27.15%,0,0.00%,0,0.00%
"DA1779, Brampton, ON",35211779,0,0.00%,811,"$103,870.07 ",31.51%,0,0.00%,0,0.00%
"DA1779, Toronto, ON",35201779,0,0.00%,"3,377","$55,198.50 ",23.41%,0,0.00%,0,0.00%
"DA1780, Brampton, ON",35211780,0,0.00%,"1,262","$105,564.17 ",21.23%,0,0.00%,0,0.00%
"DA1781, Brampton, ON",35211781,0,0.00%,976,"$104,791.81 ",20.25%,0,0.00%,0,0.00%
"DA1781, Toronto, ON",35201781,0,0.00%,413,"$79,399.11 ",31.75%,0,0.00%,0,0.00%
"DA1782, Brampton, ON",35211782,0,0.00%,795,"$109,379.85 ",9.41%,0,0.00%,0,0.00%
"DA1782, Toronto, ON",35201782,0,0.00%,235,"$89,984.22 ",38.14%,0,0.00%,0,0.00%
"DA1783, Brampton, ON",35211783,0,0.00%,665,"$100,743.20 ",17.99%,0,0.00%,0,0.00%
"DA1783, Toronto, ON",35201783,0,0.00%,391,"$100,000.00 ",28.71%,0,0.00%,0,0.00%
"DA1784, Brampton, ON",35211784,0,0.00%,"1,100","$129,112.56 ",29.24%,0,0.00%,0,0.00%
"DA1784, Toronto, ON",35201784,0,0.00%,963,"$75,720.96 ",52.88%,0,0.00%,0,0.00%
"DA1785, Brampton, ON",35211785,0,0.00%,655,"$151,714.97 ",24.65%,0,0.00%,0,0.00%
"DA1785, Toronto, ON",35201785,0,0.00%,636,"$72,025.54 ",39.47%,0,0.00%,0,0.00%
"DA1786, Toronto, ON",35201786,0,0.00%,435,"$125,593.59 ",40.59%,0,0.00%,0,0.00%
"DA1787, Toronto, ON",35201787,0,0.00%,509,"$96,178.20 ",39.15%,0,0.00%,0,0.00%
"DA1788, Brampton, ON",35211788,0,0.00%,"1,671","$98,416.48 ",31.44%,0,0.00%,0,0.00%
"DA1788, Toronto, ON",35201788,0,0.00%,437,"$95,421.07 ",27.85%,0,0.00%,0,0.00%
"DA1789, Toronto, ON",35201789,0,0.00%,"1,024","$63,697.56 ",22.10%,0,0.00%,0,0.00%
"DA1790, Brampton, ON",35211790,0,0.00%,"1,006","$111,855.32 ",29.91%,0,0.00%,0,0.00%
"DA1790, Toronto, ON",35201790,0,0.00%,385,"$84,837.43 ",24.48%,0,0.00%,0,0.00%
"DA1791, Brampton, ON",35211791,0,0.00%,"1,259","$93,383.18 ",31.39%,0,0.00%,0,0.00%
"DA1791, Toronto, ON",35201791,0,0.00%,727,"$68,144.04 ",24.48%,0,0.00%,0,0.00%
"DA1792, Brampton, ON",35211792,0,0.00%,865,"$94,081.30 ",37.71%,0,0.00%,0,0.00%
"DA1792, Toronto, ON",35201792,0,0.00%,394,"$103,104.71 ",33.67%,0,0.00%,0,0.00%
"DA1793, Brampton, ON",35211793,0,0.00%,"1,138","$96,941.41 ",36.32%,0,0.00%,0,0.00%
"DA1793, Toronto, ON",35201793,0,0.00%,303,"$84,050.42 ",26.71%,0,0.00%,0,0.00%
"DA1794, Brampton, ON",35211794,0,0.00%,"1,074","$107,695.75 ",28.13%,0,0.00%,0,0.00%
"DA1795, Brampton, ON",35211795,0,0.00%,829,"$125,848.74 ",38.88%,0,0.00%,0,0.00%
"DA1796, Brampton, ON",35211796,0,0.00%,"1,028","$98,130.28 ",32.35%,0,0.00%,0,0.00%
"DA1797, Brampton, ON",35211797,0,0.00%,"1,704","$104,769.07 ",27.58%,0,0.00%,0,0.00%
"DA1801, Brampton, ON",35211801,0,0.00%,521,"$92,605.96 ",23.92%,0,0.00%,0,0.00%
"DA1802, Brampton, ON",35211802,0,0.00%,773,"$93,321.66 ",33.01%,0,0.00%,0,0.00%
"DA1802, Toronto, ON",35201802,0,0.00%,441,"$100,632.49 ",44.78%,0,0.00%,0,0.00%
"DA1803, Brampton, ON",35211803,0,0.00%,486,"$107,290.27 ",44.94%,0,0.00%,0,0.00%
"DA1803, Toronto, ON",35201803,0,0.00%,353,"$121,840.28 ",45.60%,0,0.00%,0,0.00%
"DA1804, Brampton, ON",35211804,0,0.00%,536,"$102,184.87 ",23.41%,0,0.00%,0,0.00%
"DA1804, Toronto, ON",35201804,0,0.00%,455,"$166,863.03 ",58.37%,0,0.00%,0,0.00%
"DA1805, Brampton, ON",35211805,0,0.00%,609,"$105,817.15 ",30.61%,0,0.00%,0,0.00%
"DA1805, Toronto, ON",35201805,0,0.00%,683,"$172,720.21 ",65.83%,0,0.00%,0,0.00%
"DA1806, Brampton, ON",35211806,0,0.00%,429,"$96,745.42 ",26.07%,0,0.00%,0,0.00%
"DA1806, Toronto, ON",35201806,0,0.00%,541,"$138,022.65 ",68.48%,0,0.00%,0,0.00%
"DA1807, Brampton, ON",35211807,0,0.00%,"3,447","$106,977.69 ",25.75%,0,0.00%,0,0.00%
"DA1807, Toronto, ON",35201807,0,0.00%,647,"$132,950.41 ",41.77%,0,0.00%,0,0.00%
"DA1808, Brampton, ON",35211808,0,0.00%,934,"$103,688.53 ",25.79%,0,0.00%,0,0.00%
"DA1809, Brampton, ON",35211809,0,0.00%,925,"$98,778.97 ",42.43%,0,0.00%,0,0.00%
"DA1812, Brampton, ON",35211812,0,0.00%,"3,727","$123,356.65 ",48.81%,0,0.00%,0,0.00%
"DA1814, Mississauga, ON",35211814,0,0.00%,663,"$115,699.67 ",56.90%,0,0.00%,0,0.00%
"DA1815, Mississauga, ON",35211815,0,0.00%,438,"$109,858.31 ",50.21%,0,0.00%,0,0.00%
"DA1816, Mississauga, ON",35211816,0,0.00%,"1,124","$125,948.86 ",52.20%,0,0.00%,0,0.00%
"DA1816, Toronto, ON",35201816,0,0.00%,471,"$85,215.13 ",29.61%,0,0.00%,0,0.00%
"DA1817, Mississauga, ON",35211817,0,0.00%,720,"$103,715.72 ",53.88%,0,0.00%,0,0.00%
"DA1817, Toronto, ON",35201817,0,0.00%,458,"$101,714.62 ",31.47%,0,0.00%,0,0.00%
"DA1818, Mississauga, ON",35211818,0,0.00%,698,"$127,317.64 ",58.39%,0,0.00%,0,0.00%
"DA1818, Toronto, ON",35201818,0,0.00%,507,"$97,187.03 ",19.75%,0,0.00%,0,0.00%
"DA1819, Mississauga, ON",35211819,0,0.00%,926,"$108,679.18 ",44.68%,0,0.00%,0,0.00%
"DA1819, Toronto, ON",35201819,0,0.00%,409,"$92,935.44 ",21.72%,0,0.00%,0,0.00%
"DA1820, Mississauga, ON",35211820,0,0.00%,701,"$105,937.04 ",50.51%,0,0.00%,0,0.00%
"DA1820, Toronto, ON",35201820,0,0.00%,541,"$105,884.74 ",21.45%,0,0.00%,0,0.00%
"DA1821, Mississauga, ON",35211821,0,0.00%,819,"$118,255.21 ",54.51%,0,0.00%,0,0.00%
"DA1821, Toronto, ON",35201821,0,0.00%,"3,015","$76,684.24 ",20.03%,0,0.00%,0,0.00%
"DA1822, Mississauga, ON",35211822,0,0.00%,"1,969","$119,191.22 ",57.89%,0,0.00%,0,0.00%
"DA1822, Toronto, ON",35201822,0,0.00%,977,"$64,002.53 ",27.63%,0,0.00%,0,0.00%
"DA1823, Mississauga, ON",35211823,0,0.00%,"1,932","$91,845.02 ",52.83%,0,0.00%,0,0.00%
"DA1823, Toronto, ON",35201823,0,0.00%,430,"$76,114.31 ",30.77%,0,0.00%,0,0.00%
"DA1824, Mississauga, ON",35211824,0,0.00%,657,"$145,102.60 ",47.45%,0,0.00%,0,0.00%
"DA1824, Toronto, ON",35201824,0,0.00%,446,"$89,390.06 ",14.22%,0,0.00%,0,0.00%
"DA1825, Mississauga, ON",35211825,0,0.00%,825,"$103,321.41 ",54.55%,0,0.00%,0,0.00%
"DA1825, Toronto, ON",35201825,0,0.00%,753,"$69,215.09 ",30.19%,0,0.00%,0,0.00%
"DA1826, Mississauga, ON",35211826,0,0.00%,"2,736","$71,010.23 ",44.57%,0,0.00%,0,0.00%
"DA1826, Toronto, ON",35201826,0,0.00%,303,"$74,818.98 ",36.87%,0,0.00%,0,0.00%
"DA1827, Mississauga, ON",35211827,0,0.00%,"3,289","$45,095.26 ",51.49%,0,0.00%,0,0.00%
"DA1827, Toronto, ON",35201827,0,0.00%,438,"$100,000.00 ",30.71%,0,0.00%,0,0.00%
"DA1828, Mississauga, ON",35211828,0,0.00%,"1,136","$60,903.60 ",55.54%,0,0.00%,0,0.00%
"DA1828, Toronto, ON",35201828,0,0.00%,448,"$107,090.07 ",27.61%,0,0.00%,0,0.00%
"DA1829, Mississauga, ON",35211829,0,0.00%,"2,883","$73,222.03 ",51.74%,0,0.00%,0,0.00%
"DA1829, Toronto, ON",35201829,0,0.00%,495,"$101,514.20 ",38.68%,0,0.00%,0,0.00%
"DA1830, Mississauga, ON",35211830,0,0.00%,"1,859","$69,494.43 ",42.79%,0,0.00%,0,0.00%
"DA1830, Toronto, ON",35201830,0,0.00%,476,"$90,730.40 ",25.84%,0,0.00%,0,0.00%
"DA1831, Mississauga, ON",35211831,0,0.00%,965,"$29,814.96 ",25.93%,0,0.00%,0,0.00%
"DA1831, Toronto, ON",35201831,0,0.00%,327,"$100,000.00 ",36.00%,0,0.00%,0,0.00%
"DA1832, Mississauga, ON",35211832,0,0.00%,"1,057","$109,456.86 ",42.63%,0,0.00%,0,0.00%
"DA1832, Toronto, ON",35201832,0,0.00%,306,"$87,305.76 ",20.45%,0,0.00%,0,0.00%
"DA1833, Mississauga, ON",35211833,0,0.00%,"1,403","$111,873.82 ",46.85%,0,0.00%,0,0.00%
"DA1833, Toronto, ON",35201833,0,0.00%,466,"$99,503.13 ",34.42%,0,0.00%,0,0.00%
"DA1834, Mississauga, ON",35211834,0,0.00%,484,"$119,135.48 ",57.24%,0,0.00%,0,0.00%
"DA1834, Toronto, ON",35201834,0,0.00%,446,"$83,007.42 ",36.84%,0,0.00%,0,0.00%
"DA1835, Mississauga, ON",35211835,0,0.00%,624,"$111,015.16 ",31.04%,0,0.00%,0,0.00%
"DA1835, Toronto, ON",35201835,0,0.00%,"1,325","$55,115.89 ",17.60%,0,0.00%,0,0.00%
"DA1836, Mississauga, ON",35211836,0,0.00%,"1,953","$95,281.22 ",51.53%,0,0.00%,0,0.00%
"DA1837, Mississauga, ON",35211837,0,0.00%,"1,426","$130,289.68 ",38.36%,0,0.00%,0,0.00%
"DA1838, Mississauga, ON",35211838,0,0.00%,846,"$146,101.24 ",57.08%,0,0.00%,0,0.00%
"DA1838, Toronto, ON",35201838,0,0.00%,601,"$55,088.53 ",21.17%,0,0.00%,0,0.00%
"DA1839, Mississauga, ON",35211839,0,0.00%,"1,022","$129,541.66 ",44.52%,0,0.00%,0,0.00%
"DA1839, Toronto, ON",35201839,0,0.00%,461,"$93,222.07 ",25.29%,0,0.00%,0,0.00%
"DA1840, Mississauga, ON",35211840,0,0.00%,"1,361","$113,063.04 ",42.91%,0,0.00%,0,0.00%
"DA1840, Toronto, ON",35201840,0,0.00%,649,"$95,254.03 ",30.58%,0,0.00%,0,0.00%
"DA1841, Mississauga, ON",35211841,0,0.00%,456,"$133,627.95 ",45.98%,0,0.00%,0,0.00%
"DA1841, Toronto, ON",35201841,0,0.00%,694,"$28,084.94 ",26.20%,0,0.00%,0,0.00%
"DA1842, Mississauga, ON",35211842,0,0.00%,516,"$149,146.32 ",35.14%,0,0.00%,0,0.00%
"DA1842, Toronto, ON",35201842,0,0.00%,647,"$97,946.91 ",20.73%,0,0.00%,0,0.00%
"DA1843, Mississauga, ON",35211843,0,0.00%,"1,501","$136,396.46 ",47.45%,0,0.00%,0,0.00%
"DA1843, Toronto, ON",35201843,0,0.00%,502,"$74,486.44 ",15.22%,0,0.00%,0,0.00%
"DA1844, Mississauga, ON",35211844,0,0.00%,879,"$145,679.14 ",53.97%,0,0.00%,0,0.00%
"DA1844, Toronto, ON",35201844,0,0.00%,578,"$91,219.48 ",25.49%,0,0.00%,0,0.00%
"DA1845, Mississauga, ON",35211845,0,0.00%,467,"$152,910.82 ",59.92%,0,0.00%,0,0.00%
"DA1845, Toronto, ON",35201845,0,0.00%,451,"$128,734.94 ",36.05%,0,0.00%,0,0.00%
"DA1846, Toronto, ON",35201846,0,0.00%,664,"$102,134.34 ",32.31%,0,0.00%,0,0.00%
"DA1847, Mississauga, ON",35211847,0,0.00%,854,"$127,608.38 ",47.65%,0,0.00%,0,0.00%
"DA1847, Toronto, ON",35201847,0,0.00%,420,"$118,322.17 ",24.89%,0,0.00%,0,0.00%
"DA1848, Mississauga, ON",35211848,0,0.00%,"1,183","$121,428.47 ",50.32%,0,0.00%,0,0.00%
"DA1848, Toronto, ON",35201848,0,0.00%,393,"$106,645.87 ",31.96%,0,0.00%,0,0.00%
"DA1849, Mississauga, ON",35211849,0,0.00%,639,"$147,333.02 ",46.48%,0,0.00%,0,0.00%
"DA1849, Toronto, ON",35201849,0,0.00%,839,"$63,636.00 ",61.13%,0,0.00%,0,0.00%
"DA1850, Mississauga, ON",35211850,0,0.00%,830,"$175,906.19 ",52.50%,0,0.00%,0,0.00%
"DA1850, Toronto, ON",35201850,0,0.00%,490,"$90,233.05 ",44.32%,0,0.00%,0,0.00%
"DA1851, Mississauga, ON",35211851,0,0.00%,664,"$131,423.01 ",41.21%,0,0.00%,0,0.00%
"DA1851, Toronto, ON",35201851,0,0.00%,"1,220","$62,783.35 ",32.43%,0,0.00%,0,0.00%
"DA1852, Mississauga, ON",35211852,0,0.00%,975,"$128,609.18 ",44.02%,0,0.00%,0,0.00%
"DA1852, Toronto, ON",35201852,0,0.00%,342,"$78,113.25 ",17.88%,0,0.00%,0,0.00%
"DA1853, Mississauga, ON",35211853,0,0.00%,"1,042","$118,758.84 ",58.86%,0,0.00%,0,0.00%
"DA1853, Toronto, ON",35201853,0,0.00%,738,"$44,975.64 ",10.71%,0,0.00%,0,0.00%
"DA1854, Mississauga, ON",35211854,0,0.00%,987,"$135,977.05 ",67.89%,0,0.00%,0,0.00%
"DA1854, Toronto, ON",35201854,0,0.00%,"1,863","$57,004.61 ",22.55%,0,0.00%,0,0.00%
"DA1855, Mississauga, ON",35211855,0,0.00%,950,"$114,198.30 ",50.79%,0,0.00%,0,0.00%
"DA1855, Toronto, ON",35201855,0,0.00%,378,"$121,084.35 ",30.09%,0,0.00%,0,0.00%
"DA1856, Mississauga, ON",35211856,0,0.00%,"1,033","$125,810.46 ",55.56%,0,0.00%,0,0.00%
"DA1856, Toronto, ON",35201856,0,0.00%,"1,331","$30,889.67 ",28.30%,0,0.00%,0,0.00%
"DA1857, Mississauga, ON",35211857,0,0.00%,"1,185","$117,111.82 ",57.55%,0,0.00%,0,0.00%
"DA1857, Toronto, ON",35201857,0,0.00%,"1,177","$64,247.22 ",33.39%,0,0.00%,0,0.00%
"DA1858, Toronto, ON",35201858,0,0.00%,540,"$68,477.55 ",42.14%,0,0.00%,0,0.00%
"DA1859, Mississauga, ON",35211859,0,0.00%,822,"$111,431.63 ",57.61%,0,0.00%,0,0.00%
"DA1859, Toronto, ON",35201859,0,0.00%,547,"$112,272.80 ",21.00%,0,0.00%,0,0.00%
