Name,Dissemination Area ID,"# Households in PRIZM Segment 3: Arts & Affluence, 2019","% Households in PRIZM Segment 3: Arts & Affluence, 2019","# Basics | Total Population, 2021","Households by Income (Current Year) | Median Household Income (Current Year $), 2021","% Household Population 25 to 64 Years by Educational Attainment | Household Population 25 To 64 Years | University Certificate, Diploma Or Degree At Bachelor Level Or Above, 2021","# Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","# Total Population in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population in PRIZM Segment 3: Arts & Affluence, 2019"
"DA0316, Markham, ON",35190316,127,47.57%,460,"$78,362.71 ",56.98%,95,51.63%,221,47.94%
"DA2937, Toronto, ON",35202937,114,50.22%,688,"$269,196.68 ",76.29%,187,51.52%,358,51.73%
"DA0320, Vaughan, ON",35190320,305,36.70%,"1,827","$74,963.40 ",58.48%,604,51.27%,937,47.06%
"DA2648, Toronto, ON",35202648,108,35.64%,608,"$88,984.63 ",50.28%,189,51.22%,324,52.85%
"DA2270, Toronto, ON",35202270,77,33.77%,523,"$69,723.26 ",55.37%,159,50.96%,270,49.63%
"DA2684, Toronto, ON",35202684,108,40.91%,613,"$181,549.00 ",78.04%,168,50.91%,295,49.58%
"DA4561, Toronto, ON",35204561,117,39.66%,620,"$109,342.80 ",65.91%,206,50.00%,327,51.09%
"DA4541, Toronto, ON",35204541,119,49.38%,605,"$110,750.02 ",65.68%,159,49.84%,308,50.08%
"DA3882, Toronto, ON",35203882,87,56.49%,396,"$126,464.28 ",60.40%,111,49.78%,217,52.80%
"DA1078, Toronto, ON",35201078,190,45.45%,989,"$86,310.24 ",55.83%,274,49.73%,518,51.75%
"DA3148, Toronto, ON",35203148,124,50.61%,495,"$182,472.48 ",64.72%,158,48.62%,257,49.14%
"DA2258, Toronto, ON",35202258,76,40.00%,824,"$166,871.45 ",66.32%,153,48.27%,269,50.09%
"DA2339, Toronto, ON",35202339,128,41.42%,610,"$58,736.84 ",59.75%,129,48.13%,249,48.26%
"DA2907, Toronto, ON",35202907,110,39.29%,519,"$75,600.94 ",71.43%,160,48.05%,260,50.19%
"DA2322, Toronto, ON",35202322,68,39.31%,572,"$96,067.68 ",44.41%,139,47.44%,273,47.40%
"DA4387, Toronto, ON",35204387,100,30.12%,599,"$104,995.97 ",61.10%,169,47.34%,308,50.57%
"DA2902, Toronto, ON",35202902,107,37.28%,593,"$96,479.79 ",68.70%,185,46.95%,297,49.83%
"DA1055, Vaughan, ON",35191055,78,44.83%,520,"$123,706.60 ",60.78%,128,46.89%,241,44.38%
"DA2769, Toronto, ON",35202769,89,31.67%,568,"$111,362.81 ",65.00%,161,46.80%,287,51.16%
"DA1079, Toronto, ON",35201079,96,45.93%,585,"$202,507.69 ",73.10%,142,46.56%,285,46.80%
"DA2906, Toronto, ON",35202906,153,33.70%,"1,110","$122,109.50 ",72.69%,310,46.13%,487,48.46%
"DA2620, Toronto, ON",35202620,476,47.46%,"1,983","$143,024.38 ",62.73%,522,46.11%,966,47.92%
"DA1370, Toronto, ON",35201370,86,54.43%,365,"$163,871.89 ",77.73%,112,45.53%,199,48.18%
"DA2943, Toronto, ON",35202943,165,44.84%,812,"$83,154.15 ",63.19%,234,45.17%,373,45.49%
"DA0317, Markham, ON",35190317,98,60.87%,457,"$238,607.41 ",70.82%,110,45.08%,239,50.96%
"DA4091, Toronto, ON",35204091,351,38.40%,"1,765","$51,183.50 ",49.41%,427,44.53%,698,45.47%
"DA1073, Toronto, ON",35201073,126,42.71%,699,"$117,778.83 ",67.15%,189,43.95%,314,43.85%
"DA1112, Toronto, ON",35201112,81,42.86%,498,"$112,199.93 ",60.46%,134,43.93%,206,41.45%
"DA3190, Toronto, ON",35203190,327,44.49%,"1,476","$120,159.84 ",62.92%,474,43.29%,622,41.38%
"DA2931, Toronto, ON",35202931,138,37.50%,619,"$80,913.45 ",68.04%,186,43.16%,298,46.49%
"DA1066, Toronto, ON",35201066,105,41.67%,657,"$97,940.69 ",64.84%,168,43.08%,294,44.01%
"DA2406, Toronto, ON",35202406,109,23.34%,958,"$63,561.56 ",48.31%,218,42.83%,347,35.74%
"DA0707, Toronto, ON",35200707,70,44.30%,404,"$186,968.33 ",64.50%,108,42.52%,190,44.29%
"DA2267, Toronto, ON",35202267,81,24.40%,708,"$82,453.29 ",66.18%,191,42.35%,318,42.06%
"DA2887, Toronto, ON",35202887,69,33.33%,511,"$220,875.22 ",69.23%,128,42.24%,220,43.05%
"DA4540, Toronto, ON",35204540,83,27.21%,622,"$83,534.22 ",62.97%,169,42.14%,294,46.96%
"DA2890, Toronto, ON",35202890,100,31.15%,682,"$98,081.20 ",61.38%,187,42.12%,299,43.15%
"DA2941, Toronto, ON",35202941,78,44.57%,495,"$280,756.05 ",78.99%,113,41.70%,227,42.51%
"DA0664, Toronto, ON",35200664,138,45.85%,762,"$197,756.83 ",69.77%,177,41.65%,344,43.65%
"DA0397, Markham, ON",35190397,221,39.39%,"1,695","$159,796.33 ",65.52%,352,41.56%,683,40.15%
"DA1368, Toronto, ON",35201368,62,43.06%,336,"$139,394.68 ",64.21%,88,41.51%,154,42.08%
"DA1318, Toronto, ON",35201318,85,39.17%,506,"$129,658.56 ",72.58%,131,41.46%,205,38.39%
"DA3828, Toronto, ON",35203828,73,40.11%,471,"$170,131.94 ",70.61%,117,40.91%,199,40.12%
"DA2791, Toronto, ON",35202791,155,39.85%,621,"$71,585.85 ",62.47%,166,40.59%,276,43.13%
"DA2790, Toronto, ON",35202790,361,41.21%,"1,571","$154,033.51 ",75.52%,297,40.41%,557,41.08%
"DA2256, Toronto, ON",35202256,64,41.03%,550,"$266,065.03 ",78.52%,104,39.85%,225,41.06%
"DA2645, Toronto, ON",35202645,81,44.75%,816,"$163,293.16 ",64.97%,94,39.66%,179,40.13%
"DA0308, Vaughan, ON",35190308,166,32.36%,"1,762","$290,840.59 ",57.30%,368,39.49%,643,38.21%
"DA4504, Toronto, ON",35204504,70,30.43%,433,"$198,301.03 ",72.59%,103,39.31%,170,38.64%
"DA4503, Toronto, ON",35204503,101,28.13%,575,"$57,769.19 ",57.77%,156,39.29%,240,40.47%
"DA2306, Toronto, ON",35202306,106,57.61%,522,"$170,028.76 ",65.07%,116,38.41%,238,44.57%
"DA3819, Toronto, ON",35203819,67,42.95%,409,"$143,094.10 ",78.39%,85,38.29%,184,42.11%
"DA2878, Toronto, ON",35202878,145,47.70%,491,"$212,975.31 ",65.95%,96,38.25%,191,37.09%
"DA2788, Toronto, ON",35202788,211,39.22%,"1,056","$181,621.49 ",78.36%,215,38.19%,458,41.08%
"DA3809, Toronto, ON",35203809,68,39.77%,421,"$149,252.50 ",73.55%,96,37.80%,174,39.10%
"DA3850, Toronto, ON",35203850,260,48.87%,"1,332","$90,369.00 ",55.65%,241,37.66%,436,38.21%
"DA2305, Toronto, ON",35202305,92,32.39%,685,"$195,352.77 ",69.62%,148,37.37%,259,36.07%
"DA2893, Toronto, ON",35202893,100,27.10%,651,"$67,776.20 ",62.47%,158,36.92%,239,37.11%
"DA4603, Toronto, ON",35204603,178,38.86%,686,"$203,701.22 ",75.56%,90,36.73%,269,37.36%
"DA2810, Toronto, ON",35202810,64,36.99%,422,"$205,787.83 ",69.69%,96,36.64%,151,35.28%
"DA2774, Toronto, ON",35202774,72,36.00%,554,"$287,754.52 ",70.88%,110,36.54%,207,35.75%
"DA2401, Toronto, ON",35202401,70,33.82%,614,"$141,612.90 ",66.37%,136,36.46%,240,36.20%
"DA2359, Toronto, ON",35202359,77,32.91%,604,"$206,537.93 ",69.18%,118,35.98%,216,34.90%
